Title,Link,Authors,Year,Cited,SDGs
komunikasi bisnis,https://scholar.google.com/scholar?q=+intitle:'komunikasi bisnis',r ferinia az kurniullah ny naipospos dd tjiptadi d gandasari,2020,86,"SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 9: Industri, Inovasi, dan Infrastruktur"
didik kewarganegaraan,https://scholar.google.com/scholar?q=+intitle:'pendidikan kewarganegaraan',mm adha dr perdana,2020,85,"SDG 4: Pendidikan Berkualitas; SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
manajemen komunikasi keluarga pandemi covid19,https://scholar.google.com/scholar?q=+intitle:'manajemen komunikasi keluarga saat pandemi covid-19',a kuswanti ma muqsith ag zainal s oktarina,2020,83,"SDG 3: Kehidupan Sehat dan Sejahtera; SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
job performance during covid19 pandemic a study on indonesian startup companies,https://scholar.google.com/scholar?q=+intitle:'job performance during covid-19 pandemic: a study on indonesian startup companies',gf muttaqin m taqi b arifin,2020,81,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
the impact of environmental and social costs disclosure on financial performance mediating by earning management,https://scholar.google.com/scholar?q=+intitle:'the impact of environmental and social costs disclosure on financial performance mediating by earning management',m ayu lindrianasari rr gamayuni m urba ski,2020,80,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab
factors associated with death in covid19 patients in jakarta indonesia an epidemiological study,"https://scholar.google.com/scholar?q=+intitle:'factors associated with death in covid-19 patients in jakarta, indonesia: an epidemiological study'",a rozaliyani ai savitri f setianingrum tn shelly v ratnasari,2020,80,SDG 3: Kehidupan Sehat dan Sejahtera
the contribution of argumentation and critical thinking skills on students concept understanding in different learning models,https://scholar.google.com/scholar?q=+intitle:'the contribution of argumentation and critical thinking skills on students' concept understanding in different learning models',n hasnunidah h susilo m irawati h suwono,2020,77,SDG 4: Pendidikan Berkualitas
exploring teachers tpck are indonesian language teachers ready for online learning during the covid19 outbreak,https://scholar.google.com/scholar?q=+intitle:'exploring teachers' tpck: are indonesian language teachers ready for online learning during the covid-19 outbreak?',m fuad f ariyani e suyanto as shidiq,2020,75,SDG 4: Pendidikan Berkualitas
terap logika fuzzy profile matching teknologi informasi sesuai antibiotic dasar diare akut anak,https://scholar.google.com/scholar?q=+intitle:'penerapan logika fuzzy dan profile matching pada teknologi informasi kesesuaian antibiotic berdasarkan diare akut anak',a wantoro a syarif k muludi kn awi,2020,72,SDG 3: Kehidupan Sehat dan Sejahtera
behavioral intention toward online food delivery ofd services the study of consumer behavior during pandemic covid19,https://scholar.google.com/scholar?q=+intitle:'behavioral intention toward online food delivery (ofd) services (the study of consumer behavior during pandemic covid-19)',d novita n husna a azwari a gunawan d trianti c bella,2020,70,"SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab"
improved solubility and dissolution rates in novel multicomponent crystals of piperine with succinic acid,https://scholar.google.com/scholar?q=+intitle:'improved solubility and dissolution rates in novel multicomponent crystals of piperine with succinic acid',e zaini afriyani l fitriani f ismed a horikawa h uekusa,2020,69,SDG 3: Kehidupan Sehat dan Sejahtera
birokrasi revolusi industri 40 cegah smart asn mitos agenda reformasi birokrasi indonesia,https://scholar.google.com/scholar?q=+intitle:'birokrasi dan revolusi industri 4.0: mencegah smart asn menjadi mitos dalam agenda reformasi birokrasi indonesia',d faedlulloh s maarif if meutia d yulianti,2020,68,"SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
potensi antioksidan kedelai glycine max l tangkap radikal bebas,https://scholar.google.com/scholar?q=+intitle:'potensi antioksidan kedelai (glycine max l) terhadap penangkapan radikal bebas',an pratama h busman,2020,66,SDG 2: Tanpa Kelaparan; SDG 3: Kehidupan Sehat dan Sejahtera
pasar internasional,https://scholar.google.com/scholar?q=+intitle:'pemasaran internasional',s sherly f halim m butarbutar sn arfandi s sisca b purba r ferinia,2020,64,"SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 17: Kemitraan untuk Mencapai Tujuan"
arif lokal masyarakat lestari tradisi nikah pepadun lampung utara,https://scholar.google.com/scholar?q=+intitle:'kearifan lokal masyarakat dalam melestarikan tradisi pernikahan pepadun di lampung utara',rk habibi e kusdarini,2020,64,"SDG 11: Kota dan Permukiman yang Berkelanjutan; SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
model didik holistik bas karakter sekolah karakter indonesia heritage foundation,https://scholar.google.com/scholar?q=+intitle:'model pendidikan holistik berbasis karakter di sekolah karakter indonesia heritage foundation',n yuliana m fahri,2020,60,SDG 4: Pendidikan Berkualitas
hubung faktor sosial ekonomi tahan pangan jadi stunting balita,https://scholar.google.com/scholar?q=+intitle:'hubungan faktor sosial ekonomi dan ketahanan pangan terhadap kejadian stunting pada balita',dw wardani s suharmanto m wulandari,2020,59,SDG 1: Tanpa Kemiskinan; SDG 2: Tanpa Kelaparan; SDG 3: Kehidupan Sehat dan Sejahtera
qurban innovation due to the covid19 experiences from indonesia,https://scholar.google.com/scholar?q=+intitle:'qurban innovation due to the covid-19: experiences from indonesia',a syatar a rahman m ilham c mundzir m arif h hasim mm amiruddin,2020,59,"SDG 3: Kehidupan Sehat dan Sejahtera; SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
the impact of climate change on the household food security of upland rice farmers in sidomulyo lampung province indonesia,"https://scholar.google.com/scholar?q=+intitle:'the impact of climate change on the household food security of upland rice farmers in sidomulyo, lampung province, indonesia'",k murniati a mutolib,2020,58,SDG 2: Tanpa Kelaparan; SDG 13: Penanganan Perubahan Iklim
adaptasi biasa human resource department pandemik covid19,https://scholar.google.com/scholar?q=+intitle:'adaptasi dan kebiasaan baru human resource department di masa pandemik covid-19',mr agustino rc perdana d hartawan ya suyoso r sari,2020,58,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
imunisasi dasar pandemi covid19,https://scholar.google.com/scholar?q=+intitle:'imunisasi dasar dalam masa pandemi covid-19',nav irawati,2020,58,SDG 3: Kehidupan Sehat dan Sejahtera
antimicrobial activity of biosurfactants produced by actinomycetes isolated from rhizosphere of sidoarjo mud region,https://scholar.google.com/scholar?q=+intitle:'antimicrobial activity of biosurfactants produced by actinomycetes isolated from rhizosphere of sidoarjo mud region',a arifiyanto t surtiningsih d agustina nh alami,2020,56,SDG 3: Kehidupan Sehat dan Sejahtera; SDG 15: Ekosistem Daratan
forecasting seasonal time series data using the holtwinters exponential smoothing method of additive models,https://scholar.google.com/scholar?q=+intitle:'forecasting seasonal time series data using the holt-winters exponential smoothing method of additive models',nurhamidah nusyirwan a faisol,2020,54,SDG 2: Tanpa Kelaparan; SDG 13: Penanganan Perubahan Iklim
strategi pariwisata ekologis tantang pandemik covid19,https://scholar.google.com/scholar?q=+intitle:'strategi pariwisata ekologis dalam tantangan masa pandemik covid-19',gp djausal a larasati l muflihah,2020,54,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 14: Ekosistem Laut; SDG 15: Ekosistem Daratan
analisis etrust ewom eservice quality putus beli online,"https://scholar.google.com/scholar?q=+intitle:'analisis e-trust, e-wom dan e-service quality dalam keputusan pembelian online'",eg pasa j wulandari d adistya,2020,52,"SDG 9: Industri, Inovasi, dan Infrastruktur"
dapat sejahtera rumah tangga tani ubikayu provinsi lampung,https://scholar.google.com/scholar?q=+intitle:'pendapatan dan kesejahteraan rumah tangga petani ubikayu di provinsi lampung',wa zakaria t endaryanto lsm indah irm sari a mutolib,2020,51,SDG 1: Tanpa Kemiskinan; SDG 2: Tanpa Kelaparan
development of science learning model towards society 50 a conceptual model,https://scholar.google.com/scholar?q=+intitle:'development of science learning model towards society 5.0: a conceptual model',s saputro r perdana irw atmojo da nugraha,2020,51,SDG 4: Pendidikan Berkualitas
pengaruh dekat resource based leaarning rbl paham konsep matematis siswa,https://scholar.google.com/scholar?q=+intitle:'pengaruh pendekatan resource based leaarning (rbl) terhadap pemahaman konsep matematis siswa',fj simbolon sh noer p gunowibowo,2020,51,SDG 4: Pendidikan Berkualitas
pattern recognition and features selection for speech emotion recognition model using deep learning,https://scholar.google.com/scholar?q=+intitle:'pattern recognition and features selection for speech emotion recognition model using deep learning',k jermsittiparsert a abdurrahman p siriattakul la sundeeva w hashim,2020,50,"SDG 9: Industri, Inovasi, dan Infrastruktur"
identification of durian tree health durio zibethinus in the prospective nusantara garden wan abdul rachman lampung indonesia,https://scholar.google.com/scholar?q=+intitle:'identification of durian tree health (durio zibethinus) in the prospective nusantara garden wan abdul rachman lampung indonesia',r safei fs latumahina e suroso w warsono,2020,50,SDG 15: Ekosistem Daratan
ajar sains era akselerasi digital,https://scholar.google.com/scholar?q=+intitle:'pembelajaran sains di era akselerasi digital',j handhika sd fatmaryanti n khasanah is budiarti,2020,50,SDG 4: Pendidikan Berkualitas
culturalbased education of tamansiswa as a locomotive of indonesian education system,https://scholar.google.com/scholar?q=+intitle:'cultural-based education of tamansiswa as a locomotive of indonesian education system',c agus pab cahyanti b widodo y yulia s rochmiyati,2020,49,SDG 4: Pendidikan Berkualitas; SDG 11: Kota dan Permukiman yang Berkelanjutan
lignin isolation from black liquor from oil palm empty fruit bunch using acid,https://scholar.google.com/scholar?q=+intitle:'lignin isolation from black liquor from oil palm empty fruit bunch using acid',s hidayat w satyajaya a fudholi,2020,48,"SDG 9: Industri, Inovasi, dan Infrastruktur; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab"
analisis desain sistem informasi bayar sumbang bina didik spp smk avicena rajeg,https://scholar.google.com/scholar?q=+intitle:'analisis dan desain sistem informasi pembayaran sumbangan pembinaan pendidikan (spp) di smk avicena rajeg',r taufiq da magfiroh d yusuf y yulianti,2020,48,SDG 4: Pendidikan Berkualitas
regression models and correlation analysis for predicting body weight of female ettawa grade goat using its body measurements,https://scholar.google.com/scholar?q=+intitle:'regression  models  and  correlation  analysis  for  predicting  body  weight of female ettawa grade goat using its body measurements',a dakhlan a saputra mdi hamdani sulastri,2020,47,SDG 2: Tanpa Kelaparan
amal data time series seasonal metode analisis spektral,https://scholar.google.com/scholar?q=+intitle:'peramalan data time series seasonal menggunakan metode analisis spektral',w widiarti d kurniasari m usman,2020,46,SDG 13: Penanganan Perubahan Iklim; SDG 15: Ekosistem Daratan
hubung tingkat didik dapat keluarga jadi stunting balita wilayah kerja puskesmas way urang kabupaten lampung selatan,https://scholar.google.com/scholar?q=+intitle:'hubungan tingkat pendidikan ibu dan pendapatan keluarga dengan kejadian stunting pada balita di wilayah kerja puskesmas way urang kabupaten lampung selatan',htp,2020,46,SDG 3: Kehidupan Sehat dan Sejahtera; SDG 4: Pendidikan Berkualitas
warsono 2020 identification of durian tree health durio zibethinus in the prospective nusantara garden wan abdul rachman lampung indonesia,https://scholar.google.com/scholar?q=+intitle:'warsono. 2020. identification of durian tree health (durio zibethinus) in the prospective nusantara garden wan abdul rachman lampung indonesia',r safe i fs latumahina e suroso,2020,45,SDG 15: Ekosistem Daratan
development strategy for ecotourism management based on feasibility analysis of tourist attraction objects and perception of visitors and local communities,https://scholar.google.com/scholar?q=+intitle:'development strategy for ecotourism management based on feasibility analysis of tourist attraction objects and perception of visitors and local communities',sp harianto gd winarno mk tsani t santoso,2020,45,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 15: Ekosistem Daratan
control and realtime monitoring system for mushroom cultivation fields based on wsn and iot,https://scholar.google.com/scholar?q=+intitle:'control and realtime monitoring system for mushroom cultivation fields based on wsn and iot',sd riskiono p prasetyawan a mulyanto m iqbal r prabowo,2020,45,"SDG 2: Tanpa Kelaparan; SDG 9: Industri, Inovasi, dan Infrastruktur"
kembang model creative problem solving cps tingkat mampu pikir reflektif siswa,https://scholar.google.com/scholar?q=+intitle:'pengembangan model creative problem solving (cps) untuk meningkatkan kemampuan berpikir reflektif siswa',ad sari s hastuti a asmiati,2020,44,SDG 4: Pendidikan Berkualitas
partisipasi puas tani kerja suluh tani camat palas kabupaten lampung selatan,https://scholar.google.com/scholar?q=+intitle:'partisipasi dan kepuasan petani terhadap kinerja penyuluh pertanian di kecamatan palas kabupaten lampung selatan',i nurmayasari b viantimala dt gultom h yanfika a mutolib,2020,44,"SDG 2: Tanpa Kelaparan; SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
studi etnobotani tumbuh khasiat obat manfaat masyarakat suku melayu kabupaten lingga pulau riau,https://scholar.google.com/scholar?q=+intitle:'studi etnobotani tumbuhan berkhasiat obat yang dimanfaatkan masyarakat suku melayu kabupaten lingga kepulauan riau',u ufara qasrin a agus setiawan y yulianty b afif,2020,44,SDG 3: Kehidupan Sehat dan Sejahtera; SDG 15: Ekosistem Daratan
pengaruh atribut personal lingkung keluarga tahu kewirausahaan minat berwirausaha mahasiswa,"https://scholar.google.com/scholar?q=+intitle:'pengaruh atribut personal, lingkungan keluarga, dan pengetahuan kewirausahaan terhadap minat berwirausaha mahasiswa'",k nisa i murniawaty,2020,44,SDG 4: Pendidikan Berkualitas; SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
dimensi metrik hasil operasi graf sen umum,https://scholar.google.com/scholar?q=+intitle:'dimensi metrik hasil operasi tertentu pada graf petersen diperumum',a asmiati aa aldino n notiragayu l zakaria m anshori,2020,43,SDG 11: Kota dan Permukiman yang Berkelanjutan
mapping the distribution of coffee plantations from multiresolution multitemporal and multisensor data using a random forest algorithm,"https://scholar.google.com/scholar?q=+intitle:'mapping the distribution of coffee plantations from multi-resolution, multi-temporal, and multi-sensor data using a random forest algorithm'",a tridawati k wikantika tm susantoro ab harto s darmawan,2020,43,SDG 2: Tanpa Kelaparan; SDG 15: Ekosistem Daratan
the use of pepaccur local wisdom for indonesian literary teaching materials,https://scholar.google.com/scholar?q=+intitle:'the use of pepaccur local wisdom for indonesian literary teaching materials',m fuad a efendi ua muhammad,2020,42,SDG 4: Pendidikan Berkualitas; SDG 11: Kota dan Permukiman yang Berkelanjutan
analisa faktor hubung stunting balita usia 2560,https://scholar.google.com/scholar?q=+intitle:'analisa faktor yang berhubungan dengan stunting pada balita usia 25-60 bulan',s sugiyanto s sumarlan,2020,42,SDG 2: Tanpa Kelaparan; SDG 3: Kehidupan Sehat dan Sejahtera
bijak perintah coronavirus disease covid19 provinsi indonesia dasar analisis klaster,https://scholar.google.com/scholar?q=+intitle:'kebijakan pemerintah mengenai coronavirus disease (covid-19) di setiap provinsi di indonesia berdasarkan analisis klaster',gd rembulan t wijaya d palullungan kn alfina m qurthuby,2020,42,SDG 3: Kehidupan Sehat dan Sejahtera
kembang media ajar interaktif integrasi soft skills tingkat mampu pecah,https://scholar.google.com/scholar?q=+intitle:'pengembangan media pembelajaran interaktif terintegrasi soft skills dalam meningkatkan kemampuan pemecahan masalah',a sattriawan s sutiarso u rosidin,2020,41,SDG 4: Pendidikan Berkualitas
analisis pengaruh ekuitas merek puas libat langgan implikasi niat beli,https://scholar.google.com/scholar?q=+intitle:'analisis pengaruh ekuitas merek pada kepuasan dan keterlibatan pelanggan yang berimplikasi pada niat pembelian',a febrian a larasati,2020,41,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab
applying model of mobile web based on character building in teaching learning process to improve student character,https://scholar.google.com/scholar?q=+intitle:'applying model of mobile web based on character building in teaching learning process to improve student character',a marini d safitri s nuraini t rihatno o satibi a wahyudi u jakarta,2020,41,SDG 4: Pendidikan Berkualitas
kreativitas didik musik pikir divergen konvergen,https://scholar.google.com/scholar?q=+intitle:'kreativitas dalam pendidikan musik: berpikir divergen dan konvergen',r hidayatullah,2020,40,SDG 4: Pendidikan Berkualitas
feature selection based on naive bayes for caesarean section prediction,https://scholar.google.com/scholar?q=+intitle:'feature selection based on naive bayes for caesarean section prediction',t desyani a saifudin y yulianti,2020,40,SDG 3: Kehidupan Sehat dan Sejahtera
kuat nilainilai pancasila bangun pribadi masyarakat indonesia aladabiya jurnal budaya agama 15 01 121 138,"https://scholar.google.com/scholar?q=+intitle:'kekuatan nilai-nilai pancasila dalam membangun kepribadian masyarakat indonesia. al-adabiya: jurnal kebudayaan dan keagamaan, 15 (01), 121–138'",mm adha e susanto,2020,40,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
religiusity of indigenous communities in indonesia,https://scholar.google.com/scholar?q=+intitle:'religiusity of indigenous communities in indonesia',b m yunus s nurhasanah s irwansyah,2020,40,"SDG 16: Perdamaian, Keadilan, dan Kelembagaan yang Tangguh"
effect of environmental performance and environmental costs on financial performance with csr disclosure as intervening variables,https://scholar.google.com/scholar?q=+intitle:'effect of environmental performance and environmental costs on financial performance with csr disclosure as intervening variables',cp dila e evana fg dewi,2020,39,SDG 12: Konsumsi dan Produksi yang Bertanggung Jawab; SDG 13: Penanganan Perubahan Iklim
the influence of transformational leadership and work discipline on automotive employee performance in bandar lampung,https://scholar.google.com/scholar?q=+intitle:'the influence of transformational leadership and work discipline on automotive employee performance in bandar lampung',l listiani r ribhan nm nova mardiana,2020,39,SDG 8: Pekerjaan Layak dan Pertumbuhan Ekonomi
the development of character education model using stop motion animation for elementary school students in indonesia,https://scholar.google.com/scholar?q=+intitle:'the development of character education model using stop motion animation for elementary school students in indonesia',t rihatno d safitri s nuraini a marini ze ferdi fauzan putra,2020,39,SDG 4: Pendidikan Berkualitas
vitamin b12 production in soybean fermentation for tempeh,https://scholar.google.com/scholar?q=+intitle:'vitamin b12 production in soybean fermentation for tempeh',me kustyawati m murhadi s rizal,2020,38,SDG 2: Tanpa Kelaparan; SDG 3: Kehidupan Sehat dan Sejahtera
analisis etrust ewom eservice qualitydalam putus beli online,"https://scholar.google.com/scholar?q=+intitle:'analisis e-trust, e-wom, dan e-service qualitydalam keputusan pembelian online'",eg pasha j wulandari d adistya,2020,38,"SDG 9: Industri, Inovasi, dan Infrastruktur"
the mathematical problemsolving ability of junior high school students based on their mathematical resilience,https://scholar.google.com/scholar?q=+intitle:'the mathematical problem-solving ability of junior high school students based on their mathematical resilience',d attami b budiyono d indriati,2020,38,SDG 4: Pendidikan Berkualitas
